timestamp,problem,problem_type,problem_size,algorithm,time_to_solve,tour_cost,valid_solution
2026-04-19T17:00:00.557626,data/uniform/25/14,uniform,25,IterativeLocalSearch,0.45136499404907227,3.7075970766465347,True
2026-04-19T16:59:58.972280,data/uniform/25/1,uniform,25,Genetic,2.0591084957122803,4.741044041778832,True
2026-04-19T16:59:58.495705,data/uniform/10/24,uniform,10,SimulatedAnnealing,2.534634590148926,2.9724460328479267,True
2026-04-19T17:00:00.986396,data/uniform/25/21,uniform,25,Concorde,0.04845738410949707,4.482506681585801,True
2026-04-19T16:59:58.461115,data/uniform/10/23,uniform,10,SimulatedAnnealing,2.5759971141815186,2.7894763452504465,True
2026-04-19T17:00:01.043517,data/uniform/25/23,uniform,25,Greedy,0.0004813671112060547,4.931464708144451,True
2026-04-19T17:00:01.046474,data/uniform/25/23,uniform,25,TwoOpt,0.0019440650939941406,4.185411323602085,True
2026-04-19T17:00:00.785631,data/uniform/25/16,uniform,25,IterativeLocalSearch,0.2764732837677002,4.386663052591012,True
2026-04-19T16:59:58.571610,data/uniform/10/27,uniform,10,SimulatedAnnealing,2.4919512271881104,2.870774589019226,True
2026-04-19T17:00:01.040081,data/uniform/25/22,uniform,25,Concorde,0.038317203521728516,4.3927348083103475,True
2026-04-19T16:59:58.556469,data/uniform/10/26,uniform,10,SimulatedAnnealing,2.5231614112854004,3.118170378916747,True
2026-04-19T17:00:00.872194,data/uniform/25/18,uniform,25,IterativeLocalSearch,0.2172706127166748,3.655078911842663,True
2026-04-19T17:00:01.094998,data/uniform/25/24,uniform,25,Greedy,0.0003390312194824219,5.0358030471642135,True
2026-04-19T17:00:01.101404,data/uniform/25/24,uniform,25,TwoOpt,0.002843141555786133,4.077600347251828,True
2026-04-19T17:00:01.089148,data/uniform/25/23,uniform,25,Concorde,0.01804828643798828,4.009163172237025,True
2026-04-19T16:59:58.658028,data/uniform/10/29,uniform,10,SimulatedAnnealing,2.4687116146087646,2.875154374871683,True
2026-04-19T17:00:00.830425,data/uniform/25/17,uniform,25,IterativeLocalSearch,0.3103916645050049,4.314002169072596,True
2026-04-19T17:00:00.957836,data/uniform/25/20,uniform,25,IterativeLocalSearch,0.22137188911437988,4.2333180166547635,True
2026-04-19T17:00:00.915483,data/uniform/25/19,uniform,25,IterativeLocalSearch,0.2752552032470703,3.960749877110431,True
2026-04-19T16:59:59.088392,data/uniform/25/2,uniform,25,Genetic,2.1036975383758545,3.8409585096462378,True
2026-04-19T17:00:01.192401,data/uniform/25/25,uniform,25,Greedy,0.00031447410583496094,4.8292440247715565,True
2026-04-19T17:00:01.193840,data/uniform/25/25,uniform,25,TwoOpt,0.0025968551635742188,4.069134594622252,True
2026-04-19T17:00:01.180955,data/uniform/25/24,uniform,25,Concorde,0.01888132095336914,4.077600347251828,True
2026-04-19T17:00:00.983716,data/uniform/25/21,uniform,25,IterativeLocalSearch,0.23961162567138672,4.538881962689149,True
2026-04-19T16:59:59.206932,data/uniform/25/4,uniform,25,Genetic,2.0398783683776855,4.2659736987137915,True
2026-04-19T16:59:59.167293,data/uniform/25/3,uniform,25,Genetic,2.0980758666992188,4.599851972038273,True
2026-04-19T17:00:01.250090,data/uniform/25/25,uniform,25,Concorde,0.016067981719970703,4.069134594622252,True
2026-04-19T17:00:01.267294,data/uniform/25/26,uniform,25,Greedy,0.0002970695495605469,5.691246770205784,True
2026-04-19T17:00:01.268720,data/uniform/25/26,uniform,25,TwoOpt,0.002643585205078125,4.8762723626653255,True
2026-04-19T16:59:59.242704,data/uniform/25/6,uniform,25,Genetic,2.047407865524292,4.36744088657594,True
2026-04-19T17:00:00.636805,data/uniform/25/15,uniform,25,TabuSearch,0.6887829303741455,4.237908233290478,True
2026-04-19T16:59:59.214772,data/uniform/25/5,uniform,25,Genetic,2.1322240829467773,4.2650216499942255,True
2026-04-19T17:00:01.081416,data/uniform/25/23,uniform,25,IterativeLocalSearch,0.2887239456176758,4.009163172237025,True
2026-04-19T17:00:01.372689,data/uniform/25/27,uniform,25,Greedy,0.0003521442413330078,4.8236243384669475,True
2026-04-19T17:00:01.376083,data/uniform/25/27,uniform,25,TwoOpt,0.0013499259948730469,4.103574089899681,True
2026-04-19T17:00:01.351227,data/uniform/25/26,uniform,25,Concorde,0.03137040138244629,4.689229471462631,True
2026-04-19T17:00:01.040312,data/uniform/25/22,uniform,25,IterativeLocalSearch,0.3457295894622803,4.3927348083103475,True
2026-04-19T17:00:01.225008,data/uniform/25/25,uniform,25,IterativeLocalSearch,0.18956923484802246,4.069134594622252,True
2026-04-19T17:00:00.741890,data/uniform/25/16,uniform,25,TabuSearch,0.6795563697814941,4.423808509845506,True
2026-04-19T16:59:59.508344,data/uniform/25/9,uniform,25,Genetic,1.921746015548706,4.256677642936159,True
2026-04-19T17:00:01.431693,data/uniform/25/28,uniform,25,Greedy,0.0003018379211425781,5.563385241036964,True
2026-04-19T17:00:01.434471,data/uniform/25/28,uniform,25,TwoOpt,0.002905607223510742,4.917631721352641,True
2026-04-19T17:00:01.424179,data/uniform/25/27,uniform,25,Concorde,0.02414107322692871,4.1035740898996815,True
2026-04-19T17:00:01.142473,data/uniform/25/24,uniform,25,IterativeLocalSearch,0.3442037105560303,4.077600347251828,True
2026-04-19T17:00:00.823484,data/uniform/25/17,uniform,25,TabuSearch,0.6931209564208984,4.314002169072596,True
2026-04-19T16:59:59.344780,data/uniform/25/7,uniform,25,Genetic,2.18867826461792,4.4800363778893555,True
2026-04-19T16:59:59.421107,data/uniform/25/8,uniform,25,Genetic,2.1149985790252686,4.015441116071887,True
2026-04-19T17:00:01.538957,data/uniform/25/29,uniform,25,Greedy,0.0007784366607666016,4.816306884966313,True
2026-04-19T17:00:00.860421,data/uniform/25/18,uniform,25,TabuSearch,0.6817481517791748,3.655078911842662,True
2026-04-19T17:00:01.543080,data/uniform/25/29,uniform,25,TwoOpt,0.0009174346923828125,4.816306884966313,True
2026-04-19T17:00:01.535441,data/uniform/25/28,uniform,25,Concorde,0.02890157699584961,4.754304598872611,True
2026-04-19T17:00:00.904954,data/uniform/25/19,uniform,25,TabuSearch,0.6699075698852539,4.001161047708373,True
2026-04-19T17:00:00.954313,data/uniform/25/20,uniform,25,TabuSearch,0.6849298477172852,4.267766173221947,True
2026-04-19T17:00:01.416288,data/uniform/25/27,uniform,25,IterativeLocalSearch,0.22383904457092285,4.103574089899681,True
2026-04-19T17:00:01.642414,data/uniform/50/0,uniform,50,Greedy,0.0007252693176269531,7.256896072589759,True
2026-04-19T17:00:01.328267,data/uniform/25/26,uniform,25,IterativeLocalSearch,0.3188822269439697,4.689229471462632,True
2026-04-19T17:00:00.979542,data/uniform/25/21,uniform,25,TabuSearch,0.6775853633880615,4.482506681585801,True
2026-04-19T17:00:01.645988,data/uniform/50/0,uniform,50,TwoOpt,0.021775245666503906,6.132887954657617,True
2026-04-19T17:00:01.642064,data/uniform/25/29,uniform,25,Concorde,0.04354381561279297,4.64563083184419,True
2026-04-19T17:00:01.016715,data/uniform/25/22,uniform,25,TabuSearch,0.6849641799926758,4.392734808310347,True
2026-04-19T17:00:01.577101,data/uniform/25/29,uniform,25,IterativeLocalSearch,0.16190338134765625,4.715456405598152,True
2026-04-19T17:00:01.703150,data/uniform/50/0,uniform,50,Concorde,0.03566598892211914,5.6990317842352685,True
2026-04-19T17:00:01.740645,data/uniform/50/1,uniform,50,Greedy,0.0007073879241943359,6.656668316551736,True
2026-04-19T16:59:59.641903,data/uniform/25/10,uniform,25,Genetic,2.1060822010040283,4.159793528059116,True
2026-04-19T17:00:01.063449,data/uniform/25/23,uniform,25,TabuSearch,0.6876826286315918,4.009163172237025,True
2026-04-19T17:00:01.741016,data/uniform/50/1,uniform,50,TwoOpt,0.01183319091796875,5.788812379341426,True
2026-04-19T17:00:01.111460,data/uniform/25/24,uniform,25,TabuSearch,0.6874403953552246,4.077600347251828,True
2026-04-19T16:59:59.803279,data/uniform/25/11,uniform,25,Genetic,2.0644214153289795,4.491591623093113,True
2026-04-19T17:00:01.870701,data/uniform/50/2,uniform,50,Greedy,0.0007157325744628906,6.558548200961056,True
2026-04-19T17:00:01.199423,data/uniform/25/25,uniform,25,TabuSearch,0.6798186302185059,4.069134594622251,True
2026-04-19T17:00:01.875844,data/uniform/50/2,uniform,50,TwoOpt,0.0049152374267578125,5.852696623826261,True
2026-04-19T17:00:01.800769,data/uniform/50/1,uniform,50,Concorde,0.08292770385742188,5.662728873911676,True
2026-04-19T17:00:01.518503,data/uniform/25/28,uniform,25,IterativeLocalSearch,0.39569902420043945,4.754304598872612,True
2026-04-19T17:00:01.272943,data/uniform/25/26,uniform,25,TabuSearch,0.6765079498291016,4.68922947146263,True
2026-04-19T17:00:01.385694,data/uniform/25/27,uniform,25,TabuSearch,0.5687496662139893,4.125071942463051,True
2026-04-19T17:00:01.956363,data/uniform/50/3,uniform,50,Greedy,0.0007307529449462891,6.8087218669350404,True
2026-04-19T17:00:01.961454,data/uniform/50/3,uniform,50,TwoOpt,0.024814605712890625,5.993790801839843,True
2026-04-19T17:00:01.951067,data/uniform/50/2,uniform,50,Concorde,0.05528450012207031,5.740851666093928,True
2026-04-19T16:59:59.948561,data/uniform/25/12,uniform,25,Genetic,2.0635218620300293,3.943321246849037,True
2026-04-19T17:00:01.449665,data/uniform/25/28,uniform,25,TabuSearch,0.6921327114105225,4.75430459887261,True
2026-04-19T17:00:00.103166,data/uniform/25/13,uniform,25,Genetic,2.079733371734619,4.401421218718608,True
2026-04-19T17:00:01.545202,data/uniform/25/29,uniform,25,TabuSearch,0.6738560199737549,4.7573627338660405,True
2026-04-19T17:00:02.222329,data/uniform/50/4,uniform,50,Greedy,0.0007045269012451172,7.083827340972016,True
2026-04-19T17:00:02.227732,data/uniform/50/4,uniform,50,TwoOpt,0.008736848831176758,6.413424877075124,True
2026-04-19T17:00:02.184842,data/uniform/50/3,uniform,50,Concorde,0.05173182487487793,5.880809969312727,True
2026-04-19T16:59:58.745907,data/uniform/25/0,uniform,25,SimulatedAnnealing,3.7052736282348633,4.331660620258162,True
2026-04-19T16:59:58.966654,data/uniform/25/1,uniform,25,SimulatedAnnealing,3.596055030822754,4.755413146325014,True
2026-04-19T17:00:00.464527,data/uniform/25/14,uniform,25,Genetic,2.1151905059814453,3.7075970766465347,True
2026-04-19T17:00:02.583449,data/uniform/50/4,uniform,50,Concorde,0.07503414154052734,5.893198348192322,True
2026-04-19T17:00:02.660440,data/uniform/50/5,uniform,50,Greedy,0.0006921291351318359,6.507818107168736,True
2026-04-19T17:00:02.667412,data/uniform/50/5,uniform,50,TwoOpt,0.01255488395690918,5.637448508864398,True
2026-04-19T17:00:00.676027,data/uniform/25/15,uniform,25,Genetic,2.0369279384613037,4.421477857772127,True
2026-04-19T16:59:59.085781,data/uniform/25/2,uniform,25,SimulatedAnnealing,3.6280572414398193,3.743236076689133,True
2026-04-19T16:59:59.116596,data/uniform/25/3,uniform,25,SimulatedAnnealing,3.629643440246582,4.5702249998973326,True
2026-04-19T17:00:00.773287,data/uniform/25/16,uniform,25,Genetic,2.0832576751708984,4.448762755255677,True
2026-04-19T16:59:59.237294,data/uniform/25/6,uniform,25,SimulatedAnnealing,3.6302759647369385,4.266512004391376,True
2026-04-19T17:00:00.826416,data/uniform/25/17,uniform,25,Genetic,2.0520572662353516,4.314002169072596,True
2026-04-19T17:00:02.878017,data/uniform/50/6,uniform,50,Greedy,0.0013093948364257812,7.554352756084393,True
2026-04-19T16:59:59.211667,data/uniform/25/5,uniform,25,SimulatedAnnealing,3.6591994762420654,4.2650216499942255,True
2026-04-19T17:00:02.880974,data/uniform/50/6,uniform,50,TwoOpt,0.016796112060546875,6.373506254469316,True
